norenordno,uid,actid,exch,tsym,trantype,qty,prc,pcode,remarks,status,reporttype,prctyp,ret,exchordid,dscqty,rejreason,t
25091000473320.0,FA32246,FA32246,BFO,SENSEX2591181200CE,B,20.0,409.45,I,,PENDING,NewAck,LMT,DAY,,0.0, ,om
25091100520779.0,FA32246,FA32246,NFO,NIFTY16SEP25C24850,B,75.0,233.0,I,,PENDING,NewAck,LMT,DAY,,0.0, ,om
,om,,,,,,,,,,,,,,,,
25091100520947.0,FA32246,FA32246,BFO,SENSEX2591881200CE,B,60.0,730.05,I,,PENDING,NewAck,LMT,DAY,,0.0, ,om
25091100520950.0,FA32246,FA32246,BFO,SENSEX2591881200CE,B,60.0,730.05,I,,PENDING,NewAck,LMT,DAY,,0.0, ,om
25091100520966.0,FA32246,FA32246,NFO,NIFTY16SEP25C24800,B,150.0,274.5,I,,PENDING,NewAck,LMT,DAY,,0.0, ,om
25091100520968.0,FA32246,FA32246,NFO,NIFTY16SEP25C24800,B,150.0,274.5,I,,PENDING,NewAck,LMT,DAY,,0.0, ,om
25091100520978.0,FA32246,FA32246,BFO,SENSEX2591881100CE,B,100.0,805.0,I,,PENDING,NewAck,LMT,DAY,,0.0, ,om
25091100520989,FA32246,FA32246,BFO,SENSEX2591881200CE,B,40.0,730.05,I,,PENDING,NewAck,LMT,DAY,,0.0, ,om
25091100520994,FA32246,FA32246,BFO,SENSEX2591881200CE,B,40.0,730.05,I,,PENDING,NewAck,LMT,DAY,,0.0, ,om
25091100521002,FA42242,FA42242,BFO,SENSEX2591881400CE,B,20.0,582.5,I,,PENDING,NewAck,LMT,DAY,,0.0, ,om
25091100521003,FA32246,FA32246,BFO,SENSEX2591881400CE,B,60.0,582.5,I,,PENDING,NewAck,LMT,DAY,,0.0, ,om
AY,,0, ,om,,,,,,,,,,,,,
25091100521004,FA42242,FA42242,BFO,SENSEX2591881200CE,B,20.0,730.05,I,,PENDING,NewAck,LMT,DAY,,0.0, ,om
25091100521005,FA32246,FA32246,BFO,SENSEX2591881200CE,B,40.0,730.05,I,,PENDING,NewAck,LMT,DAY,,0.0, ,om
25091100521009,FA32246,FA32246,NFO,NIFTY16SEP25C24800,B,150,274.5,I,,PENDING,NewAck,LMT,DAY,,0.0, ,om
k,LMT,DAY,,0, ,om,,,,,,,,,,,
25091100521019,FA42242,FA42242,BFO,SENSEX2591881200CE,B,40,730.05,I,,PENDING,NewAck,LMT,DAY,,0.0, ,om
25091100521020,FA32246,FA32246,BFO,SENSEX2591881200CE,B,40,730.05,I,,PENDING,NewAck,LMT,DAY,,0.0, ,om
25091100521027,FA32246,FA32246,BFO,SENSEX2591881100CE,B,40,805.0,I,,PENDING,NewAck,LMT,DAY,,0.0, ,om
25091100521031,FA32246,FA32246,BFO,SENSEX2591881100CE,B,60,805.0,I,,PENDING,NewAck,LMT,DAY,,0.0, ,om
25091100521032,FA42242,FA42242,BFO,SENSEX2591881100CE,B,60,805.0,I,,PENDING,NewAck,LMT,DAY,,0.0, ,om
25091100521036,FA42242,FA42242,BFO,SENSEX2591881200CE,B,80,730.05,I,,PENDING,NewAck,LMT,DAY,,0.0, ,om
25091100521037,FA32246,FA32246,BFO,SENSEX2591881200CE,B,80,730.05,I,,PENDING,NewAck,LMT,DAY,,0.0, ,om
25091100521064,FA32246,FA32246,BFO,SENSEX2591881100CE,B,60,805.0,I,,PENDING,NewAck,LMT,DAY,,0.0, ,om
25091100521065,FA42242,FA42242,BFO,SENSEX2591881100CE,B,60,805.0,I,,PENDING,NewAck,LMT,DAY,,0.0, ,om
25091100521074,FA32246,FA32246,BFO,SENSEX2591881000CE,B,40,800.0,I,,PENDING,NewAck,LMT,DAY,,0.0, ,om
25091100521075,FA42242,FA42242,BFO,SENSEX2591881000CE,B,40,800.0,I,,PENDING,NewAck,LMT,DAY,,0.0, ,om
25091100521081,FA32246,FA32246,NFO,NIFTY16SEP25C24750,B,150,300.0,I,,PENDING,NewAck,LMT,DAY,,0.0, ,om
25091100521082,FA32246,FA32246,NFO,NIFTY16SEP25C24800,B,150,274.5,I,,PENDING,NewAck,LMT,DAY,,0.0, ,om
25091100521083,FA32246,FA32246,NFO,BANKNIFTY30SEP25C54100,B,70,997.65,I,,PENDING,NewAck,LMT,DAY,,0.0, ,om
25091100521084,FA32246,FA32246,NFO,NIFTY16SEP25C24700,B,150,366.4,I,,PENDING,NewAck,LMT,DAY,,0.0, ,om
25091100521087,FA32246,FA32246,NFO,NIFTY16SEP25C24700,B,150,366.4,I,,PENDING,NewAck,LMT,DAY,,0.0, ,om
25091100521090,FA32246,FA32246,BFO,SENSEX2591881300CE,B,80,657.7,I,,PENDING,NewAck,LMT,DAY,,0.0, ,om
25091100521103,FA42242,FA42242,BFO,SENSEX2591881000CE,B,40,883.75,I,,PENDING,NewAck,LMT,DAY,,0.0, ,om
25091100521104,FA32246,FA32246,BFO,SENSEX2591881000CE,B,40,883.75,I,,PENDING,NewAck,LMT,DAY,,0.0, ,om
25091100521105,FA32246,FA32246,NFO,NIFTY16SEP25C24700,B,300,366.4,I,,PENDING,NewAck,LMT,DAY,,0.0, ,om
25091100521125,FA32246,FA32246,NFO,NIFTY16SEP25C24750,B,150,320.0,I,,PENDING,NewAck,LMT,DAY,,0.0, ,om
25091100521138,FA32246,FA32246,NFO,NIFTY16SEP25C24750,B,225,320.0,I,,PENDING,NewAck,LMT,DAY,,0.0, ,om
25091100521142,FA32246,FA32246,NFO,NIFTY16SEP25C24750,S,225,320.0,I,,PENDING,NewAck,LMT,DAY,,0.0, ,om
25091100521150,FA32246,FA32246,BFO,SENSEX2591881000CE,B,60,883.75,I,,PENDING,NewAck,LMT,DAY,,0.0, ,om
25091100521153,FA32246,FA32246,BFO,SENSEX2591881000CE,S,60,883.75,I,,PENDING,NewAck,LMT,DAY,,0.0, ,om
25091100521156,FA32246,FA32246,NFO,NIFTY16SEP25P24750,B,225,17.2,I,,PENDING,NewAck,LMT,DAY,,0.0, ,om
25091100521178,FA32246,FA32246,NFO,NIFTY16SEP25C24700,B,150,366.4,I,,PENDING,NewAck,LMT,DAY,,0.0, ,om
25091100521179,FA32246,FA32246,NFO,NIFTY16SEP25C24700,S,150,366.4,I,,PENDING,NewAck,LMT,DAY,,0.0, ,om
25091100521185,FA32246,FA32246,NFO,NIFTY16SEP25C24750,B,225,320.0,I,,PENDING,NewAck,LMT,DAY,,0.0, ,om
25091100521207,FA32246,FA32246,NFO,NIFTY16SEP25P24800,B,225,22.55,I,,PENDING,NewAck,LMT,DAY,,0.0, ,om
25091100521304,FA32246,FA32246,NFO,NIFTY16SEP25C24750,B,150,320.0,I,,PENDING,NewAck,LMT,DAY,,0.0, ,om
25091100521306,FA32246,FA32246,NFO,NIFTY16SEP25C24750,B,150,320.0,I,,PENDING,NewAck,LMT,DAY,,0.0, ,om
25091100521316,FA32246,FA32246,BFO,SENSEX2591881100CE,B,40,805.00,I,,PENDING,NewAck,LMT,DAY,,0, ,om
25091100521317,FA42242,FA42242,BFO,SENSEX2591881100CE,B,40,805.00,I,,PENDING,NewAck,LMT,DAY,,0, ,om
25091100521318,FA32246,FA32246,BFO,SENSEX2591881100CE,S,40,809.00,I,,PENDING,NewAck,LMT,DAY,,0, ,om
25091100521319,FA42242,FA42242,BFO,SENSEX2591881100CE,S,40,809.00,I,,PENDING,NewAck,LMT,DAY,,0, ,om
